# Impedance of BGI V
# Author: A. Lasheen
# f_r [Hz]			R_s [Ohm]			Q
2.506923790652363896e+08 2.212237569069040148e+02 3.948574724474920004e+02
2.983557151417436004e+08 3.626824595379659968e+02 3.757636959141600528e+02
5.104746096624842286e+08 1.690621682921057072e+03 7.472621920564511129e+02
5.651273081964513063e+08 4.139524982674101921e+02 6.847129293924353988e+02
5.773897869322623014e+08 -7.539658412676074617e-01 1.225042653760806616e+03
6.213808667161728144e+08 5.403812235977711254e+01 9.143889351658624491e+02
7.417121324545425177e+08 6.654550218627358618e+02 1.394844493630877196e+03
8.454301661656697989e+08 8.724761653811744511e-01 1.441154620505957610e+03
9.112041568582987785e+08 5.544375603242299633e+01 1.255004209891236115e+02
9.753311179742323160e+08 7.232704873771673704e+01 5.548255843380398744e+01
1.081846889962038994e+09 5.237804001715118829e+03 1.255280172840867408e+03
1.120247855770274401e+09 1.465970358349468142e+03 1.472515789201786447e+03
1.161129630697195768e+09 2.791773751950997706e+01 1.078804603129515272e+03
1.172892806157820702e+09 1.999403258800750507e+02 7.646496322056215149e+02
1.241940787731919765e+09 1.749364403387846210e+02 1.025801851561318927e+03
1.266938178413652420e+09 4.298527819796697713e+02 1.775548643743471075e+03
1.321718837496046782e+09 2.083529436290746730e+02 1.851250130159840410e+03
1.349525573789685249e+09 6.266843644503726551e+01 7.690458986215469395e+02
1.349544192563431501e+09 3.319136951113622303e+01 1.393716113162472311e+03
1.355407948133659601e+09 6.006947966493756752e+01 1.957235849717458450e+03
1.396075219705565691e+09 7.413002329774427324e+01 6.232951827957656405e+02
1.420812058104384899e+09 1.419772063657850367e+03 1.323032579861551540e+03
1.421512746264080763e+09 -3.348096935703489407e+01 8.022294145230583808e+02
1.465845014372337103e+09 3.599693864276227373e+02 2.957280605613953867e+03
1.476291549182120323e+09 5.963950784698774896e+02 1.055334027450580379e+03
1.478286737298203945e+09 4.729569899177448633e+02 1.251587118638973379e+03
1.488710129701434851e+09 1.418300287711857209e+03 8.582446436548960946e+02
1.509398306627267361e+09 9.039735085747361154e+02 2.428514967336190693e+03
1.811583396640559435e+09 1.917740961505357291e+03 7.383472876888801295e+01
