# Impedance of the post LS2 internal dump
# Multi resonator fit
# Author: A. Lasheen
# f_r [Hz]			R_s [Ohm]			Q
1.066507815179833770e+08 3.607960340124295180e+04 8.457913477681802306e+02
4.001097551498765349e+08 2.565218233930322749e+05 2.876737327768090836e+03
4.993575138775110245e+08 1.440601122977201594e+05 4.342998545723397910e+03
4.995150250007099509e+08 1.599663519852465542e+05 4.313946692873463689e+03
5.732302306578007936e+08 1.673927924900653670e+04 2.043273207970567910e+03
5.733877417809996605e+08 1.514751260683429609e+04 2.030734230610019722e+03
7.386326611289783716e+08 1.131178975475029729e+05 7.255015712488181634e+03
7.387901722521773577e+08 1.041342988805616478e+05 6.861449220767683073e+03
7.461931950425262451e+08 6.560172257091212668e+04 4.252910066434209511e+03
7.463507061657251120e+08 7.141275806115595333e+04 4.424552367350606801e+03
8.616645994596486092e+08 3.125329665638988081e+04 1.726948886881986255e+04
8.618221105828475952e+08 4.107272595342770364e+04 1.905913257597652409e+04
9.249840709856113195e+08 3.048463372396854538e+04 3.315843154366948511e+03
9.558562511325980425e+08 1.270293212910814909e+05 7.711498220862443304e+03
9.560295133681168556e+08 1.531666893598463794e+05 8.715984854527869174e+03
9.667402697456429005e+08 5.042302951617265535e+03 3.411685855235264171e+03
1.006275561668569922e+09 6.806576450896935967e+03 3.549747404736977387e+03
1.045810853591496706e+09 6.640509226478091477e+03 3.698970705642007943e+03
1.045968364714695811e+09 9.388096067502763617e+03 3.704560206167361684e+03
1.096529435261546373e+09 7.621756173065425173e+03 3.877348551113460417e+03
1.096686946384745359e+09 8.017597265934824463e+03 3.878877675659932720e+03
1.107240191639072418e+09 3.626920266213557625e+04 4.132176786890949188e+03
1.107397702762271404e+09 3.511382947177303140e+04 4.126394626181724561e+03
1.196564749605175495e+09 4.896467949262482762e+03 3.456812080329461423e+03
1.196722260728374481e+09 4.542107791109679056e+03 3.457036485867663487e+03
1.318635870084332466e+09 5.342277613607636340e+03 3.800364958524552549e+03
1.335505311378935814e+09 1.070925268409833734e+04 3.873526264883289514e+03
1.335647071389814854e+09 1.040131619710040832e+04 3.873632370165846169e+03
1.355824246271595478e+09 2.201690785861625409e+04 3.851233302662390088e+03
1.407645405804037571e+09 7.938215634321601101e+03 2.214108619392741730e+03
1.407802916927236557e+09 7.583264536545340889e+03 2.212593167054204059e+03
