# Impedance of C10-46 
# Measurement for h=21
# Author: G. Favia 
# Freq [Hz]		Re(Z) [Ohm]		Im(Z) [Ohm]
0.000000000000000000e+00 2.848599999999999909e+03 -0.000000000000000000e+00
6.250000000000000000e+04 2.927799999999999869e+01 2.524000000000000057e+02
1.250000000000000000e+05 1.110919999999999952e+01 1.190819999999999936e+02
1.875000000000000000e+05 6.824200000000000266e+00 7.064000000000000057e+01
2.500000000000000000e+05 4.073199999999999932e+00 4.367799999999999727e+01
3.125000000000000000e+05 1.107140000000000013e+00 2.539999999999999858e+01
3.750000000000000000e+05 -2.773800000000000043e+00 1.172959999999999958e+01
4.375000000000000000e+05 -8.066599999999999326e+00 1.347779999999999978e+00
5.000000000000000000e+05 -1.498859999999999992e+01 -5.618999999999999773e+00
5.625000000000000000e+05 -2.284400000000000119e+01 -8.105999999999999872e+00
6.250000000000000000e+05 -2.917399999999999949e+01 -5.355599999999999916e+00
6.875000000000000000e+05 -3.066600000000000037e+01 7.405199999999999561e-01
7.500000000000000000e+05 -2.677799999999999869e+01 5.759800000000000253e+00
8.125000000000000000e+05 -2.059799999999999898e+01 6.908400000000000318e+00
8.750000000000000000e+05 -1.534459999999999980e+01 4.685399999999999565e+00
9.375000000000000000e+05 -1.246579999999999977e+01 9.052599999999999536e-01
1.000000000000000000e+06 -1.214039999999999964e+01 -2.727199999999999847e+00
1.062500000000000000e+06 -1.384720000000000084e+01 -4.804800000000000182e+00
1.125000000000000000e+06 -1.636880000000000024e+01 -4.276600000000000179e+00
1.187500000000000000e+06 -1.780539999999999878e+01 -1.016799999999999926e+00
1.250000000000000000e+06 -1.648320000000000007e+01 3.526400000000000201e+00
1.312500000000000000e+06 -1.239039999999999964e+01 7.002600000000000158e+00
1.375000000000000000e+06 -7.190599999999999881e+00 7.945599999999999774e+00
1.437500000000000000e+06 -2.768200000000000216e+00 6.469800000000000217e+00
1.500000000000000000e+06 -2.743200000000000083e-01 3.587400000000000144e+00
1.562500000000000000e+06 -1.243780000000000024e-01 5.298399999999999777e-01
1.625000000000000000e+06 -2.162399999999999878e+00 -1.450599999999999890e+00
1.687500000000000000e+06 -5.564400000000000013e+00 -1.196939999999999893e+00
1.750000000000000000e+06 -8.717599999999999127e+00 1.849199999999999955e+00
1.812500000000000000e+06 -9.792400000000000659e+00 6.897599999999999731e+00
